PNODENAME,LAT,LON,ISO,NODETYPE
UN.YARMOUTH13.8YAR3,43.75124484,-70.15547564,NEISO,GENERATOR
UN.YARMOUTH22  YAR4,43.75124484,-70.15547564,NEISO,GENERATOR
UN.RCHSTER 34.5ROCH,43.30804458,-70.99784406,NEISO,GENERATOR
UN.ROCKY_RV13.8ROCK,41.58248906,-73.43369864,NEISO,GENERATOR
UN.NORTHFLD13.8NFLD,,,NEISO,N/A
UN.LOUDEN  34.5BARM,43.529291,-70.503305,NEISO,GENERATOR
UN.W_BUXTON34.5BONE,43.66338713,-70.5533253,NEISO,GENERATOR
UN.HARRIS  13.2HAR4,45.433962,-69.977862,NEISO,GENERATOR
UN.WINSLOW 115 HALI,44.5489,-69.6169,NEISO,GENERATOR
UN.LOUDEN  34.5NGOR,43.802009,-70.45028,NEISO,GENERATOR
UN.WINSLOW 34.5SHAW,44.5489,-69.6169,NEISO,GENERATOR
UN.MONTAGUE13.8CBTF,42.58765752,-72.57808081,NEISO,N/A
UN.OAK_HILL34.5CONC,43.316566,-71.589497,NEISO,GENERATOR
UN.GARVINS 34.5GARV,43.22127494,-71.44134998,NEISO,GENERATOR
UN.N_CANAL 34.5HADL,42.19754405,-72.58941963,NEISO,GENERATOR
UN.E_FAIRFX34.5LLAM,44.63655304,-72.9312495,NEISO,GENERATOR
UN.MIDLEBRY46  MDLB,44.01109262,-73.15995438,NEISO,GENERATOR
UN.N_RUTLND46  NRUT,43.63346941,-73.05766363,NEISO,GENERATOR
UN.MIDDLESX34.5MSX2,44.28918535,-72.67958177,NEISO,GENERATOR
UN.HIGHGATE46  HGFA,44.93844654,-73.05402966,NEISO,GENERATOR
UN.DIGHTON 115 DIGH,41.81623109,-71.13608175,NEISO,GENERATOR
UN.FALMOUTH25  OAKB,41.4508,-70.5547,NEISO,GENERATOR
UN.FALMOUTH25  WTIS,41.3867,-70.6314,NEISO,GENERATOR
UN.BPT_ENER16  BHCC,41.172471,-73.184898,NEISO,GENERATOR
UN.GE_RIVER115 GEEL,,,NEISO,N/A
UN.JAY     115 AEC,,,NEISO,N/A
UN.BERK_PWR21  BERK,42.1351,-72.6316,NEISO,GENERATOR
UN.SAPHINCK13.8SOMR,44.701262,-69.648568,NEISO,GENERATOR
UN.BUCKSPRT115 CHAM,44.57472034,-68.80601496,NEISO,GENERATOR
UN.STONYBRK13.2ST1A,42.1953,-72.5156,NEISO,GENERATOR
UN.STONYBRK13.2ST1B,42.1953,-72.5156,NEISO,GENERATOR
UN.STONYBRK13.2ST1C,42.1953,-72.5156,NEISO,GENERATOR
